Date,Actual,Forecasted
2015-06-15 00:00:00,298.5,319.9265900621417
2015-06-16 00:00:00,298.95,319.4488944259471
2015-06-17 00:00:00,301.1,319.5943313626526
2015-06-18 00:00:00,301.9,319.70971875264985
2015-06-19 00:00:00,305.0,319.62869195498666
2015-06-22 00:00:00,310.4,319.906720937334
2015-06-23 00:00:00,314.55,319.46103562206446
2015-06-24 00:00:00,313.65,319.584915873638
2015-06-25 00:00:00,312.35,319.61944222903253
2015-06-26 00:00:00,307.95,319.39475102487165
2015-06-29 00:00:00,309.95,318.86245691056354
2015-06-30 00:00:00,315.15,318.033739057742
2015-07-01 00:00:00,313.6,317.72615370884796
2015-07-02 00:00:00,315.05,317.292890725499
2015-07-03 00:00:00,315.6,316.57721876449926
2015-07-06 00:00:00,318.4,314.55151366052826
2015-07-07 00:00:00,317.35,313.27428350718986
2015-07-08 00:00:00,312.95,312.55421850441786
2015-07-09 00:00:00,310.6,311.76666104716725
2015-07-10 00:00:00,309.9,310.76994491027267
2015-07-13 00:00:00,314.6,308.4031768856231
2015-07-14 00:00:00,312.3,307.2133593567031
2015-07-15 00:00:00,314.0,306.66961584860445
2015-07-16 00:00:00,317.95,306.1590649635229
2015-07-17 00:00:00,322.3,305.67394484868555
2015-07-20 00:00:00,320.5,305.3480638427928
2015-07-21 00:00:00,313.4,304.98352430583464
2015-07-22 00:00:00,314.5,305.3113219486909
2015-07-23 00:00:00,315.1,305.7111592100012
2015-07-24 00:00:00,314.55,306.0261571278569
2015-07-27 00:00:00,311.65,308.1009852602526
2015-07-28 00:00:00,311.2,308.4830553700316
2015-07-29 00:00:00,304.0,309.5162611450179
2015-07-30 00:00:00,315.95,310.5621405123822
2015-07-31 00:00:00,326.0,311.4499332030982
2015-08-03 00:00:00,331.55,314.7497471313002
2015-08-04 00:00:00,329.9,315.3446043192346
2015-08-05 00:00:00,331.8,316.50773411336127
2015-08-06 00:00:00,326.25,317.58848104169647
2015-08-07 00:00:00,324.45,318.4162136323067
2015-08-10 00:00:00,320.95,321.07312839440317
2015-08-11 00:00:00,320.1,321.3175166672583
2015-08-12 00:00:00,316.75,322.0976513832797
2015-08-13 00:00:00,316.35,322.76288434650525
2015-08-14 00:00:00,318.15,323.1533676631765
2015-08-17 00:00:00,316.9,324.52118913397237
2015-08-18 00:00:00,314.85,324.37332562226334
2015-08-19 00:00:00,316.9,324.8040023696004
2015-08-20 00:00:00,329.35,325.16241135666775
2015-08-21 00:00:00,330.75,325.29241195650343
2015-08-24 00:00:00,320.2,326.1835537130473
2015-08-25 00:00:00,319.9,325.968660742687
2015-08-26 00:00:00,317.65,326.37465376290163
2015-08-27 00:00:00,325.7,326.7400950952328
2015-08-28 00:00:00,327.0,326.89938801378213
2015-08-31 00:00:00,325.15,327.9206776215381
2015-09-01 00:00:00,315.45,327.72423207279917
2015-09-02 00:00:00,320.1,328.12352489796547
2015-09-03 00:00:00,320.0,328.9605024194153
2015-09-04 00:00:00,317.1,329.5450773284094
2015-09-07 00:00:00,313.45,331.51598061073133
2015-09-08 00:00:00,312.9,331.5085988859564
2015-09-09 00:00:00,314.4,332.0426625870188
2015-09-10 00:00:00,313.35,332.4393438445357
2015-09-11 00:00:00,313.75,332.5270791396566
2015-09-14 00:00:00,313.65,332.77166905602513
2015-09-15 00:00:00,317.4,332.1446429853972
